machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,60935,2026-09-10 17:15:55.300946+00:00,2026-09-10 17:15:55.331486+00:00,2026-09-10 17:15:54.870771+00:00,2026-09-10 17:15:54.871728+00:00,2026-09-10 17:15:54.870915+00:00,2026-09-10 17:15:55.284113+00:00,2026-09-10 17:15:55.284421+00:00,,,,,0.14400000000000002,413.19800000000004,0.8130000000000001,0.308,16.525000000000002,30.540000000000003,460.715,CONFIRMED
M01,60936,2026-09-10 17:15:55.355304+00:00,2026-09-10 17:15:55.388498+00:00,2026-09-10 17:15:54.898833+00:00,2026-09-10 17:15:54.899770+00:00,2026-09-10 17:15:54.898996+00:00,2026-09-10 17:15:55.331937+00:00,2026-09-10 17:15:55.332204+00:00,,,,,0.163,432.94100000000003,0.7739999999999999,0.26699999999999996,23.099999999999998,33.194,489.665,CONFIRMED
M01,60937,2026-09-10 17:15:55.405757+00:00,2026-09-10 17:15:55.437741+00:00,2026-09-10 17:15:54.927515+00:00,2026-09-10 17:15:54.928403+00:00,2026-09-10 17:15:54.927618+00:00,2026-09-10 17:15:55.388905+00:00,2026-09-10 17:15:55.389204+00:00,,,,,0.103,461.287,0.785,0.299,16.552999999999997,31.983999999999998,510.22599999999994,CONFIRMED
M01,60938,2026-09-10 17:15:55.458670+00:00,2026-09-10 17:15:55.493476+00:00,2026-09-10 17:15:54.955359+00:00,2026-09-10 17:15:54.959157+00:00,2026-09-10 17:15:54.955514+00:00,2026-09-10 17:15:55.438282+00:00,2026-09-10 17:15:55.438628+00:00,,,,,0.155,482.768,3.643,0.34600000000000003,20.042,34.806,538.117,CONFIRMED
M01,60939,2026-09-10 17:15:55.513498+00:00,2026-09-10 17:15:55.543485+00:00,2026-09-10 17:15:54.989216+00:00,2026-09-10 17:15:54.990216+00:00,2026-09-10 17:15:54.989389+00:00,2026-09-10 17:15:55.493978+00:00,2026-09-10 17:15:55.494303+00:00,,,,,0.17300000000000001,504.58899999999994,0.8270000000000001,0.325,19.195,29.987,554.269,CONFIRMED
M01,60940,2026-09-10 17:15:55.566289+00:00,2026-09-10 17:15:55.597621+00:00,2026-09-10 17:15:55.018258+00:00,2026-09-10 17:15:55.019024+00:00,2026-09-10 17:15:55.018493+00:00,2026-09-10 17:15:55.544076+00:00,2026-09-10 17:15:55.544480+00:00,,,,,0.235,525.583,0.531,0.404,21.808999999999997,31.331999999999997,579.3629999999999,CONFIRMED
M01,60941,2026-09-10 17:15:55.614770+00:00,2026-09-10 17:15:55.654845+00:00,2026-09-10 17:15:55.046172+00:00,2026-09-10 17:15:55.046713+00:00,2026-09-10 17:15:55.046260+00:00,2026-09-10 17:15:55.598240+00:00,2026-09-10 17:15:55.598699+00:00,,,,,0.088,551.98,0.453,0.45899999999999996,16.070999999999998,40.075,608.673,CONFIRMED
M01,60942,2026-09-10 17:15:55.684498+00:00,2026-09-10 17:15:55.722632+00:00,2026-09-10 17:15:55.073566+00:00,2026-09-10 17:15:55.077902+00:00,2026-09-10 17:15:55.073652+00:00,2026-09-10 17:15:55.655495+00:00,2026-09-10 17:15:55.655902+00:00,,,,,0.08600000000000001,581.843,4.25,0.40700000000000003,28.596,38.134,649.066,CONFIRMED
M01,60943,2026-09-10 17:15:55.748166+00:00,2026-09-10 17:15:55.787117+00:00,2026-09-10 17:15:55.106597+00:00,2026-09-10 17:15:55.107167+00:00,2026-09-10 17:15:55.106695+00:00,2026-09-10 17:15:55.723122+00:00,2026-09-10 17:15:55.723427+00:00,,,,,0.098,616.4269999999999,0.472,0.305,24.739,38.951,680.52,CONFIRMED
M01,60944,2026-09-10 17:15:55.808686+00:00,2026-09-10 17:15:55.844479+00:00,2026-09-10 17:15:55.133706+00:00,2026-09-10 17:15:55.134456+00:00,2026-09-10 17:15:55.133881+00:00,2026-09-10 17:15:55.788405+00:00,2026-09-10 17:15:55.788723+00:00,,,,,0.175,654.524,0.575,0.318,19.963,35.793,710.773,CONFIRMED
