machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,59024,2026-09-10 17:11:22.788313+00:00,2026-09-10 17:11:22.819140+00:00,2026-09-10 17:11:22.748276+00:00,2026-09-10 17:11:22.749150+00:00,2026-09-10 17:11:22.748446+00:00,2026-09-10 17:11:22.749560+00:00,2026-09-10 17:11:22.750856+00:00,,,,,0.17,1.1139999999999999,0.704,1.296,37.457,30.827,70.86399999999999,CONFIRMED
M01,59025,2026-09-10 17:11:22.844467+00:00,2026-09-10 17:11:22.874461+00:00,2026-09-10 17:11:22.802643+00:00,2026-09-10 17:11:22.806023+00:00,2026-09-10 17:11:22.802806+00:00,2026-09-10 17:11:22.819753+00:00,2026-09-10 17:11:22.820119+00:00,,,,,0.163,16.947,3.2169999999999996,0.366,24.348000000000003,29.994,71.81800000000001,CONFIRMED
M01,59026,2026-09-10 17:11:22.895600+00:00,2026-09-10 17:11:22.924889+00:00,2026-09-10 17:11:22.859220+00:00,2026-09-10 17:11:22.860148+00:00,2026-09-10 17:11:22.859365+00:00,2026-09-10 17:11:22.874834+00:00,2026-09-10 17:11:22.875244+00:00,,,,,0.145,15.469,0.7829999999999999,0.41,20.355999999999998,29.288999999999998,65.66900000000001,CONFIRMED
M01,59027,2026-09-10 17:11:22.948012+00:00,2026-09-10 17:11:22.978395+00:00,2026-09-10 17:11:22.911954+00:00,2026-09-10 17:11:22.915269+00:00,2026-09-10 17:11:22.912078+00:00,2026-09-10 17:11:22.925449+00:00,2026-09-10 17:11:22.925810+00:00,,,,,0.124,13.370999999999999,3.191,0.361,22.201999999999998,30.383,66.441,CONFIRMED
M01,59028,2026-09-10 17:11:22.996440+00:00,2026-09-10 17:11:23.024236+00:00,2026-09-10 17:11:22.969824+00:00,2026-09-10 17:11:22.970614+00:00,2026-09-10 17:11:22.969953+00:00,2026-09-10 17:11:22.978812+00:00,2026-09-10 17:11:22.979051+00:00,,,,,0.129,8.859,0.661,0.23900000000000002,17.389000000000003,27.796000000000003,54.412,CONFIRMED
M01,59029,2026-09-10 17:11:23.052579+00:00,2026-09-10 17:11:23.094912+00:00,2026-09-10 17:11:23.024045+00:00,2026-09-10 17:11:23.024749+00:00,2026-09-10 17:11:23.024166+00:00,2026-09-10 17:11:23.024870+00:00,2026-09-10 17:11:23.025229+00:00,,,,,0.121,0.704,0.583,0.359,27.349999999999998,42.333000000000006,70.867,CONFIRMED
M01,59030,2026-09-10 17:11:23.115646+00:00,2026-09-10 17:11:23.145766+00:00,2026-09-10 17:11:23.081007+00:00,2026-09-10 17:11:23.081635+00:00,2026-09-10 17:11:23.081178+00:00,2026-09-10 17:11:23.095280+00:00,2026-09-10 17:11:23.095522+00:00,,,,,0.171,14.102,0.457,0.242,20.124,30.12,64.759,CONFIRMED
M01,59031,2026-09-10 17:11:23.168124+00:00,2026-09-10 17:11:23.193428+00:00,2026-09-10 17:11:23.133167+00:00,2026-09-10 17:11:23.135989+00:00,2026-09-10 17:11:23.133315+00:00,2026-09-10 17:11:23.146275+00:00,2026-09-10 17:11:23.146668+00:00,,,,,0.148,12.959999999999999,2.6740000000000004,0.393,21.456,25.304,60.261,CONFIRMED
M01,59032,2026-09-10 17:11:23.210333+00:00,2026-09-10 17:11:23.238803+00:00,2026-09-10 17:11:23.187639+00:00,2026-09-10 17:11:23.188820+00:00,2026-09-10 17:11:23.187831+00:00,2026-09-10 17:11:23.193877+00:00,2026-09-10 17:11:23.194178+00:00,,,,,0.192,6.046,0.9890000000000001,0.301,16.154999999999998,28.47,51.164,CONFIRMED
M01,59033,2026-09-10 17:11:23.259829+00:00,2026-09-10 17:11:23.290864+00:00,2026-09-10 17:11:23.240114+00:00,2026-09-10 17:11:23.240952+00:00,2026-09-10 17:11:23.240196+00:00,2026-09-10 17:11:23.240907+00:00,2026-09-10 17:11:23.241217+00:00,,,,,0.082,0.7110000000000001,0.756,0.31,18.612,31.035,50.75,CONFIRMED
M01,59034,2026-09-10 17:11:23.320701+00:00,2026-09-10 17:11:23.347857+00:00,2026-09-10 17:11:23.297666+00:00,2026-09-10 17:11:23.298347+00:00,2026-09-10 17:11:23.297772+00:00,2026-09-10 17:11:23.298339+00:00,2026-09-10 17:11:23.298714+00:00,,,,,0.106,0.5670000000000001,0.575,0.375,21.987,27.156,50.191,CONFIRMED
M01,59035,2026-09-10 17:11:23.373960+00:00,2026-09-10 17:11:23.401315+00:00,2026-09-10 17:11:23.353147+00:00,2026-09-10 17:11:23.354391+00:00,2026-09-10 17:11:23.353336+00:00,2026-09-10 17:11:23.354224+00:00,2026-09-10 17:11:23.354530+00:00,,,,,0.189,0.888,1.055,0.306,19.43,27.355,48.168,CONFIRMED
M01,59036,2026-09-10 17:11:23.434561+00:00,2026-09-10 17:11:23.462230+00:00,2026-09-10 17:11:23.413980+00:00,2026-09-10 17:11:23.416113+00:00,2026-09-10 17:11:23.414229+00:00,2026-09-10 17:11:23.414938+00:00,2026-09-10 17:11:23.415379+00:00,,,,,0.24899999999999997,0.709,1.8840000000000001,0.441,19.182000000000002,27.669,48.25,CONFIRMED
M01,59037,2026-09-10 17:11:23.491669+00:00,2026-09-10 17:11:23.519820+00:00,2026-09-10 17:11:23.468625+00:00,2026-09-10 17:11:23.469653+00:00,2026-09-10 17:11:23.468729+00:00,2026-09-10 17:11:23.469675+00:00,2026-09-10 17:11:23.469971+00:00,,,,,0.104,0.9460000000000001,0.924,0.296,21.697999999999997,28.151,51.195,CONFIRMED
M01,59038,2026-09-10 17:11:23.547412+00:00,2026-09-10 17:11:23.580848+00:00,2026-09-10 17:11:23.524170+00:00,2026-09-10 17:11:23.524833+00:00,2026-09-10 17:11:23.524251+00:00,2026-09-10 17:11:23.524900+00:00,2026-09-10 17:11:23.525240+00:00,,,,,0.081,0.6489999999999999,0.5820000000000001,0.34,22.172,33.436,56.678,CONFIRMED
M01,59039,2026-09-10 17:11:23.601004+00:00,2026-09-10 17:11:23.638415+00:00,2026-09-10 17:11:23.576472+00:00,2026-09-10 17:11:23.577327+00:00,2026-09-10 17:11:23.576619+00:00,2026-09-10 17:11:23.581350+00:00,2026-09-10 17:11:23.581789+00:00,,,,,0.147,4.731,0.708,0.439,19.215,37.411,61.943,CONFIRMED
M01,59040,2026-09-10 17:11:23.662038+00:00,2026-09-10 17:11:23.688750+00:00,2026-09-10 17:11:23.630579+00:00,2026-09-10 17:11:23.633836+00:00,2026-09-10 17:11:23.630800+00:00,2026-09-10 17:11:23.638974+00:00,2026-09-10 17:11:23.639332+00:00,,,,,0.221,8.174000000000001,3.036,0.358,22.706,26.712,58.171,CONFIRMED
M01,59041,2026-09-10 17:11:23.707893+00:00,2026-09-10 17:11:23.746518+00:00,2026-09-10 17:11:23.686202+00:00,2026-09-10 17:11:23.687010+00:00,2026-09-10 17:11:23.686324+00:00,2026-09-10 17:11:23.689384+00:00,2026-09-10 17:11:23.689739+00:00,,,,,0.122,3.0599999999999996,0.6859999999999999,0.355,18.154,38.625,60.316,CONFIRMED
M01,59042,2026-09-10 17:11:23.763908+00:00,2026-09-10 17:11:23.793859+00:00,2026-09-10 17:11:23.739405+00:00,2026-09-10 17:11:23.740391+00:00,2026-09-10 17:11:23.739684+00:00,2026-09-10 17:11:23.746939+00:00,2026-09-10 17:11:23.747586+00:00,,,,,0.279,7.255,0.707,0.647,16.322,29.950999999999997,54.454,CONFIRMED
M01,59043,2026-09-10 17:11:23.822211+00:00,2026-09-10 17:11:23.848269+00:00,2026-09-10 17:11:23.795101+00:00,2026-09-10 17:11:23.798435+00:00,2026-09-10 17:11:23.795181+00:00,2026-09-10 17:11:23.795781+00:00,2026-09-10 17:11:23.796306+00:00,,,,,0.08,0.6,3.254,0.525,25.905,26.058,53.168,CONFIRMED
M01,59044,2026-09-10 17:11:23.872212+00:00,2026-09-10 17:11:23.902616+00:00,2026-09-10 17:11:23.850171+00:00,2026-09-10 17:11:23.850734+00:00,2026-09-10 17:11:23.850292+00:00,2026-09-10 17:11:23.850717+00:00,2026-09-10 17:11:23.850990+00:00,,,,,0.121,0.425,0.442,0.273,21.222,30.404,52.445,CONFIRMED
M01,59045,2026-09-10 17:11:23.925363+00:00,2026-09-10 17:11:23.956172+00:00,2026-09-10 17:11:23.905309+00:00,2026-09-10 17:11:23.906447+00:00,2026-09-10 17:11:23.905544+00:00,2026-09-10 17:11:23.906495+00:00,2026-09-10 17:11:23.906971+00:00,,,,,0.235,0.9510000000000001,0.903,0.47600000000000003,18.392,30.809,50.863,CONFIRMED
M01,59046,2026-09-10 17:11:23.982399+00:00,2026-09-10 17:11:24.009134+00:00,2026-09-10 17:11:23.959146+00:00,2026-09-10 17:11:23.960229+00:00,2026-09-10 17:11:23.959411+00:00,2026-09-10 17:11:23.960395+00:00,2026-09-10 17:11:23.960929+00:00,,,,,0.265,0.9840000000000001,0.8180000000000001,0.5339999999999999,21.47,26.735,49.988,CONFIRMED
