machine,sequence,BLOCKCHAIN_SUBMITTED,CONFIRMED,CREATED,MQTT_ACKNOWLEDGED,MQTT_SUBMITTED,RECEIVED,VALIDATED,MQTT_FAILED,SECURITY_REJECTED,BLOCKCHAIN_REJECTED,BLOCKCHAIN_FAILED,latency_creation_mqtt_ms,latency_mqtt_ms,latency_mqtt_ack_ms,latency_validation_ms,latency_edge_ms,latency_blockchain_ms,latency_total_ms,final_status
M01,57566,2026-09-10 17:04:27.145397+00:00,2026-09-10 17:04:27.173103+00:00,2026-09-10 17:04:27.122369+00:00,2026-09-10 17:04:27.124126+00:00,2026-09-10 17:04:27.122586+00:00,2026-09-10 17:04:27.124077+00:00,2026-09-10 17:04:27.124460+00:00,,,,,0.217,1.4909999999999999,1.5399999999999998,0.383,20.937,27.706000000000003,50.734,CONFIRMED
M01,57567,2026-09-10 17:04:27.250960+00:00,2026-09-10 17:04:27.288387+00:00,2026-09-10 17:04:27.227192+00:00,2026-09-10 17:04:27.230422+00:00,2026-09-10 17:04:27.227371+00:00,2026-09-10 17:04:27.228223+00:00,2026-09-10 17:04:27.228959+00:00,,,,,0.179,0.852,3.0509999999999997,0.736,22.001,37.427,61.195,CONFIRMED
M01,57568,2026-09-10 17:04:27.355951+00:00,2026-09-10 17:04:27.385144+00:00,2026-09-10 17:04:27.332893+00:00,2026-09-10 17:04:27.337313+00:00,2026-09-10 17:04:27.333108+00:00,2026-09-10 17:04:27.333895+00:00,2026-09-10 17:04:27.334203+00:00,,,,,0.215,0.787,4.205,0.308,21.748,29.193,52.251,CONFIRMED
M01,57569,2026-09-10 17:04:27.471959+00:00,2026-09-10 17:04:27.501273+00:00,2026-09-10 17:04:27.442766+00:00,2026-09-10 17:04:27.445725+00:00,2026-09-10 17:04:27.442924+00:00,2026-09-10 17:04:27.444080+00:00,2026-09-10 17:04:27.444987+00:00,,,,,0.158,1.156,2.801,0.907,26.971999999999998,29.314,58.507000000000005,CONFIRMED
M01,57570,2026-09-10 17:04:27.575656+00:00,2026-09-10 17:04:27.608950+00:00,2026-09-10 17:04:27.551544+00:00,2026-09-10 17:04:27.554570+00:00,2026-09-10 17:04:27.551728+00:00,2026-09-10 17:04:27.552472+00:00,2026-09-10 17:04:27.552788+00:00,,,,,0.184,0.744,2.842,0.316,22.868,33.294,57.406,CONFIRMED
M01,57571,2026-09-10 17:04:27.678442+00:00,2026-09-10 17:04:27.705438+00:00,2026-09-10 17:04:27.656770+00:00,2026-09-10 17:04:27.658490+00:00,2026-09-10 17:04:27.656957+00:00,2026-09-10 17:04:27.657807+00:00,2026-09-10 17:04:27.658132+00:00,,,,,0.187,0.85,1.5330000000000001,0.325,20.310000000000002,26.996,48.668000000000006,CONFIRMED
M01,57572,2026-09-10 17:04:27.794312+00:00,2026-09-10 17:04:27.836724+00:00,2026-09-10 17:04:27.762407+00:00,2026-09-10 17:04:27.763694+00:00,2026-09-10 17:04:27.762569+00:00,2026-09-10 17:04:27.763769+00:00,2026-09-10 17:04:27.764296+00:00,,,,,0.162,1.2,1.125,0.527,30.016000000000002,42.412,74.317,CONFIRMED
M01,57573,2026-09-10 17:04:27.895592+00:00,2026-09-10 17:04:27.940523+00:00,2026-09-10 17:04:27.867300+00:00,2026-09-10 17:04:27.871089+00:00,2026-09-10 17:04:27.867497+00:00,2026-09-10 17:04:27.868725+00:00,2026-09-10 17:04:27.869166+00:00,,,,,0.19699999999999998,1.228,3.592,0.441,26.426000000000002,44.931,73.223,CONFIRMED
M01,57574,2026-09-10 17:04:28.001006+00:00,2026-09-10 17:04:28.029546+00:00,2026-09-10 17:04:27.974085+00:00,2026-09-10 17:04:27.975355+00:00,2026-09-10 17:04:27.974255+00:00,2026-09-10 17:04:27.975095+00:00,2026-09-10 17:04:27.975442+00:00,,,,,0.17,0.8400000000000001,1.1,0.347,25.564,28.54,55.461000000000006,CONFIRMED
M01,57575,2026-09-10 17:04:28.104382+00:00,2026-09-10 17:04:28.133663+00:00,2026-09-10 17:04:28.078285+00:00,2026-09-10 17:04:28.079780+00:00,2026-09-10 17:04:28.078553+00:00,2026-09-10 17:04:28.079522+00:00,2026-09-10 17:04:28.080062+00:00,,,,,0.268,0.969,1.227,0.54,24.32,29.281000000000002,55.378,CONFIRMED
M01,57576,2026-09-10 17:04:28.223413+00:00,2026-09-10 17:04:28.251776+00:00,2026-09-10 17:04:28.183667+00:00,2026-09-10 17:04:28.186369+00:00,2026-09-10 17:04:28.184036+00:00,2026-09-10 17:04:28.185634+00:00,2026-09-10 17:04:28.186612+00:00,,,,,0.36900000000000005,1.598,2.333,0.9779999999999999,36.801,28.363,68.10900000000001,CONFIRMED
M01,57577,2026-09-10 17:04:28.316035+00:00,2026-09-10 17:04:28.340970+00:00,2026-09-10 17:04:28.292052+00:00,2026-09-10 17:04:28.293049+00:00,2026-09-10 17:04:28.292234+00:00,2026-09-10 17:04:28.293014+00:00,2026-09-10 17:04:28.293441+00:00,,,,,0.182,0.78,0.815,0.42700000000000005,22.594,24.935,48.918000000000006,CONFIRMED
M01,57578,2026-09-10 17:04:28.416425+00:00,2026-09-10 17:04:28.443493+00:00,2026-09-10 17:04:28.397398+00:00,2026-09-10 17:04:28.398285+00:00,2026-09-10 17:04:28.397551+00:00,2026-09-10 17:04:28.398302+00:00,2026-09-10 17:04:28.398653+00:00,,,,,0.153,0.751,0.734,0.35100000000000003,17.772,27.067999999999998,46.095,CONFIRMED
M01,57579,2026-09-10 17:04:28.528592+00:00,2026-09-10 17:04:28.554089+00:00,2026-09-10 17:04:28.500809+00:00,2026-09-10 17:04:28.502489+00:00,2026-09-10 17:04:28.501199+00:00,2026-09-10 17:04:28.502845+00:00,2026-09-10 17:04:28.503761+00:00,,,,,0.39,1.646,1.2899999999999998,0.916,24.831,25.497,53.28,CONFIRMED
M01,57580,2026-09-10 17:04:28.636374+00:00,2026-09-10 17:04:28.663193+00:00,2026-09-10 17:04:28.610823+00:00,2026-09-10 17:04:28.618616+00:00,2026-09-10 17:04:28.611038+00:00,2026-09-10 17:04:28.612049+00:00,2026-09-10 17:04:28.612516+00:00,,,,,0.215,1.011,7.577999999999999,0.467,23.858,26.819,52.37,CONFIRMED
M01,57581,2026-09-10 17:04:28.747212+00:00,2026-09-10 17:04:28.776469+00:00,2026-09-10 17:04:28.721831+00:00,2026-09-10 17:04:28.722955+00:00,2026-09-10 17:04:28.722092+00:00,2026-09-10 17:04:28.722943+00:00,2026-09-10 17:04:28.723488+00:00,,,,,0.261,0.851,0.8630000000000001,0.545,23.724,29.256999999999998,54.638,CONFIRMED
M01,57582,2026-09-10 17:04:28.843765+00:00,2026-09-10 17:04:28.869078+00:00,2026-09-10 17:04:28.826573+00:00,2026-09-10 17:04:28.827321+00:00,2026-09-10 17:04:28.826738+00:00,2026-09-10 17:04:28.827271+00:00,2026-09-10 17:04:28.827531+00:00,,,,,0.165,0.533,0.583,0.25999999999999995,16.233999999999998,25.313,42.505,CONFIRMED
M01,57583,2026-09-10 17:04:28.955009+00:00,2026-09-10 17:04:28.985270+00:00,2026-09-10 17:04:28.929248+00:00,2026-09-10 17:04:28.930012+00:00,2026-09-10 17:04:28.929412+00:00,2026-09-10 17:04:28.930053+00:00,2026-09-10 17:04:28.930513+00:00,,,,,0.164,0.641,0.6,0.46,24.496,30.261,56.022000000000006,CONFIRMED
M01,57584,2026-09-10 17:04:29.059989+00:00,2026-09-10 17:04:29.087167+00:00,2026-09-10 17:04:29.039028+00:00,2026-09-10 17:04:29.040181+00:00,2026-09-10 17:04:29.039203+00:00,2026-09-10 17:04:29.041459+00:00,2026-09-10 17:04:29.041894+00:00,,,,,0.175,2.2560000000000002,0.9779999999999999,0.435,18.095,27.178,48.139,CONFIRMED
M01,57585,2026-09-10 17:04:29.160086+00:00,2026-09-10 17:04:29.184818+00:00,2026-09-10 17:04:29.142529+00:00,2026-09-10 17:04:29.143427+00:00,2026-09-10 17:04:29.142738+00:00,2026-09-10 17:04:29.143321+00:00,2026-09-10 17:04:29.143718+00:00,,,,,0.20900000000000002,0.583,0.6890000000000001,0.397,16.368000000000002,24.732,42.289,CONFIRMED
M01,57586,2026-09-10 17:04:29.271280+00:00,2026-09-10 17:04:29.307983+00:00,2026-09-10 17:04:29.246807+00:00,2026-09-10 17:04:29.248112+00:00,2026-09-10 17:04:29.247089+00:00,2026-09-10 17:04:29.248116+00:00,2026-09-10 17:04:29.248702+00:00,,,,,0.28200000000000003,1.027,1.0230000000000001,0.5860000000000001,22.578,36.703,61.176,CONFIRMED
M01,57587,2026-09-10 17:04:29.369773+00:00,2026-09-10 17:04:29.396888+00:00,2026-09-10 17:04:29.350818+00:00,2026-09-10 17:04:29.351954+00:00,2026-09-10 17:04:29.351073+00:00,2026-09-10 17:04:29.351996+00:00,2026-09-10 17:04:29.352333+00:00,,,,,0.255,0.923,0.8809999999999999,0.337,17.44,27.115000000000002,46.07,CONFIRMED
